Article Number,Dates,Fatality Range,Countries
1,N/A,N/A,N/A
2,"20221001, 20221031",[ 37 to 00],N/A
3," Just,  month,  N,  Just,  months,  2012,  2014,  a,  a, ovembers,  10,  ago, ade,  year",[ 1 to  three]," New,  P,  N,  New,  New,  Long,  P,  California,  New,  Long,  New,  New,  New,  York, os, OUGHKEEPSIE, .Y.,  York,  Yorks,  Island, oughkeepsie,  York,  Island, ys,  York,  York,  York"
4," 15, year,  this,  Just,  weeks,  last,  22, year, old,  third, -, -old,  year,  two,  year, -, -, -year",[ 2 to -seven]," Myanmar,  Myanmar,  Myanmar,  Myanmar,  China,  China,  Myanmar"
5," Autumn,  the,  few,  three,  years,  Sundays,  October,  any,  of,  week,  chestnut,  18,  the,  of,  15th,  the,  of,  16, ps,  past,  years,  day,  ago, nut,  day,  the,  season, th-century,  end,  the,  century,  beginning,  the, th",[ 10 to  three]," Florence,  T,  Florence,  T,  Florence,  Mar,  Mar,  Florence,  Mar, uscany, uscany, ovella, ità, radi, can, radi, radi, ugello, otto"
6," Tuesday,  Tuesday,  the,  October,  decades,  2021",[ 15 to -plus]," Los,  L,  Los,  Los,  Los,  California,  Los,  Los,  County,  O,  Angeles, OS ANGELES,  Angeles,  Angeles,  Angeles,  Angeles,  Angeles, o, axaca"
7," 92,  Oct,  92,  1896,  2016,  36,  1968,  80,  the,  century,  1988,  that,  164,  2014, ifts, . 4,  years,  19th,  year,  years",[ 5 to  60]," San,  Antonio"
8," a,  in,  79, year, old,  today,  decades,  1920,  1933,  the,  end,  the,  early, th,  Monday,  May, -, -, s,  to,  very,  18th century,  19",[ 54 to .4]," states,  Kentucky, eeleys, em, eeleys, paw"
9," 2000,  two,  last,  the,  several,  1999,  daily,  years,  decades,  month,  past,  decades",[ 285 to  two]," St,  the,  of,  Congo, ps, olese, . Louis, é, d,  Republic,  Congo, go, alougo, ps, ok, s"
10," March,  months,  2016,  Each,  2024,  a,  from,  2015,  day,  year,  now",[ 500 to  one]," Boca,  Florida,  New,  Iowa,  Florida,  Iowa,  Iowa,  Wisconsin,  Raton,  York"
11," last,  Sunday,  the,  day,  Monday,  16,  Sunday,  17,  15, year,  Tuesday,  less,  four,  Election,  weekend,  next, -year-old, -year-old, ins, -, -old,  than,  weeks,  Day",[ 500 to  two]," Long,  New,  Manhattan,  Suffolk,  Long,  New, in,  Island,  York,  County,  Island,  York, uls"
12," November,  next,  This,  weekend,  2022,  year,  past",[ 10 to ys],"Al,  Nevada, Ga,  Wisconsin,  North,  Florida, a,  Carolina, ville"
13," last,  Tuesday,  November,  Sept,  the,  month,  2021, . 26,  day",[ 11 to  three]," Did, orphos, orphos, orphos, ymos, orphos, orphos, ymos, orphos"
14," Tuesday,  the,  Atlantic,  season,  the,  day,  Thursday,  Wednesday,  Thursday,  Friday,  The,  hurricane,  June,  November,  Sept,  August,  1997,  early,  a,  more,  a,  late,  10,  Sunday,  early,  the,  Nov,  2022,  hurricane,  next, .,  Atlantic,  season, . 1,  September,  day,  than,  week,  September,  days,  August,  season, . 30",[ 10 to  to]," Ver,  Mexico,  Mexico,  Mexico,  Cab,  Puerto,  Mexico,  Puerto,  Florida,  Florida, peche, ort, acruz, o Rojo,  Veracruz, huantepec, re,  Rico, on, mine"
15," Tuesday,  last,  August,  last,  Tuesday,  week,  week",[ 100 to .]," W,  Florida,  Atlanta, ASHINGTON, ., ."
16," only,  before,  Last,  Four,  ago,  days,  month,  years",[ 14 to .8 million]," Florida,  D,  Fla,  South,  D,  Miami, D,  Venezuela,  U, S,  Venezuela,  Florida,  Texas,  Mar,  Massachusetts,  the,  States,  D,  the,  States,  Eagle,  Texas,  the,  States,  D,  D,  the,  States,  D, ORAL, .,  Florida, oral, -, ade County, als, ., ., ces, olanas, ces, thas Vineyard,  United, oral,  United,  Pass,  United, oral, oralzuela,  United, oral, ces"
17," one,  25,  2011,  three,  seasons,  11,  1990,  2009,  2010,  the,  season,  Today,  35,  the,  year,  month,  unremarkable,  2012,  sixth",[ 15 to  two]," England,  New,  Jersey"
18," Tuesday,  a,  Monday,  the,  two,  Tuesday,  the,  few,  day,  past,  days,  past,  days",[ 120 to ows]," Ukraine,  BR,  Russia,  Ukraine,  Ukraine,  Ukraine,  Ukraine,  Ukraine,  Russia,  Ukraine,  Ukraine,  Ukraine,  Ukraine,  Ky, rows, USSELS, s, es, hed, ky, es, ivs, cows"
19," Tuesday,  30,  Tuesday,  a,  months,  Mondays,  months,  the,  days,  Tuesday,  daily,  any,  day,  day,  early,  other",[ 15 to teen]," Ky,  KY,  Ukraine,  Ky,  Ky,  Ky,  Ky, iv, ia, shyn, ks, IV, iv, iv, iv, iv"
20," Tuesday,  last,  Tuesday,  just,  the,  Tuesday,  another,  Nov,  weeks,  weeks,  summer,  month, . 3",[ 18 to  two]," Saudi,  W,  Saudi,  Russia,  kingdom,  Saudi,  Russia,  Russia,  Ukraine,  Moscow,  Washington,  Saudi,  Russia,  China,  India,  U.S,  Riyadh,  the,  Arab,  Riyadh,  Saudi,  Arabia, ASHINGTON,  Arabia,  Arabia,  Arabia, .,  United,  Emirates,  Arabia"
